original_text,claims_labels,claims,text_length
"A recent study led by Lawrence Livermore National Laboratory climate scientist Ben Santer found that while the models ran hot, the ‘overestimation’ was ‘partly due to systematic deficiencies in some of the post-2000 external forcings used in the model simulations.’",NOT_ENOUGH_INFO,recent study led lawrence livermore national laboratory climate scientist ben santer found model ran hot overestimation partly due systematic deficiency post external forcings used model simulation,197
"So that means that probably about half, maybe half of that nine-tenths of the degree [of total warming] might be caused by greenhouse gases",SUPPORTS,mean probably half maybe half ninetenths degree total warming might caused greenhouse gas,89
This “blocking” effect means extreme events can unfold.”,NOT_ENOUGH_INFO,blocking effect mean extreme event unfold,41
"The effect of this disparity is that thermal radiation escaping to space comes mostly from the cold upper atmosphere, while the surface is maintained at a substantially warmer temperature.",SUPPORTS,effect disparity thermal radiation escaping space come mostly cold upper atmosphere surface maintained substantially warmer temperature,135
We have had ice ages and warmer periods when alligators were found in Spitzbergen.,SUPPORTS,ice age warmer period alligator found spitzbergen,49
"""In 2007, the Northern Hemisphere reached a record low in ice coverage and the Northwest Passage was opened.",SUPPORTS,northern hemisphere reached record low ice coverage northwest passage opened,76
"There is no evidence, other than models, that human CO2 emissions drive climate change and abundant evidence that the Sun, coupled with natural climate cycles, drives most, if not all, of recent climate changes",REFUTES,evidence model human co2 emission drive climate change abundant evidence sun coupled natural climate cycle drive not recent climate change,138
"The particular signature of warming in 2016 was also revealing in another way, Overpeck said, noting that the stratosphere… saw record cold temperatures last year",NOT_ENOUGH_INFO,particular signature warming also revealing another way overpeck said noting stratosphere… saw record cold temperature last year,128
Hansen's 1988 results are evidence that the actual climate sensitivity is about 3°C for a doubling of atmospheric CO2.,REFUTES,hansens result evidence actual climate sensitivity 3°c doubling atmospheric co2,79
"While the Medieval Warm Period saw unusually warm temperatures in some regions, globally the planet was cooler than current conditions.",SUPPORTS,medieval warm period saw unusually warm temperature region globally planet cooler current condition,99
"While the link between cosmic rays and cloud cover is yet to be confirmed, more importantly, there has been no correlation between cosmic rays and global temperatures over the last 30 years of global warming.",SUPPORTS,link cosmic ray cloud cover yet confirmed importantly correlation cosmic ray global temperature last year global warming,120
