claims,claims_labels
climate change is a hoax,REFUTES
global warming is not real,REFUTES
the climate crisis is just media hype,REFUTES
co2 does not affect the climate,REFUTES
ice caps are not melting,REFUTES
scientists are lying about climate change,REFUTES
weather changes prove nothing serious,REFUTES
climate change is just a natural cycle,REFUTES
humans do not cause climate change,REFUTES
there is no real climate emergency,REFUTES
climate change is a scam by the government,REFUTES
rising seas are fake news,REFUTES
climate change is not happening,REFUTES
global warming stopped years ago,REFUTES
polar bears are not endangered,REFUTES
wildfires are not linked to climate change,REFUTES
hot summers are nothing new,REFUTES
snow in winter proves there is no warming,REFUTES
climate change is exaggerated,REFUTES
scientists are making it up for funding,REFUTES
the climate is stable,REFUTES
storms are not getting worse,REFUTES
humans have no impact on the climate,REFUTES
global warming is a political trick,REFUTES
there is no proof of climate change,REFUTES
more co2 is good for plants,REFUTES
ice in antarctica is increasing,REFUTES
heat waves have always happened,REFUTES
melting glaciers are a myth,REFUTES
temperatures are not rising,REFUTES
climate change is just a theory,REFUTES
scientists fake temperature records,REFUTES
oceans are not warming,REFUTES
climate change is not dangerous,REFUTES
humans are too small to affect the planet,REFUTES
global warming is natural,REFUTES
co2 is harmless,REFUTES
there is no link between emissions and warming,REFUTES
the planet is cooling,REFUTES
climate models are always wrong,REFUTES
floods have nothing to do with climate change,REFUTES
climate change is media propaganda,REFUTES
scientists exaggerate for attention,REFUTES
temperatures were higher in the past,REFUTES
the sun is causing the warming,REFUTES
climate change is not urgent,REFUTES
arctic ice is healthy,REFUTES
global warming is overblown,REFUTES
climate change is a lie,REFUTES
rising seas are a scare tactic,REFUTES
weather is unpredictable so climate predictions are useless,REFUTES
warming is part of earth’s natural cycle,REFUTES
the planet will fix itself,REFUTES
there is no climate crisis,REFUTES
storms are normal,REFUTES
scientists are wrong about climate change,REFUTES
climate change is not caused by fossil fuels,REFUTES
polar bears are thriving,REFUTES
earth’s temperature is fine,REFUTES
climate change is an excuse for new taxes,REFUTES
extreme weather is not new,REFUTES
co2 is only plant food,REFUTES
humans are not warming the earth,REFUTES
global warming is not a threat,REFUTES
sea levels are stable,REFUTES
earth has cooled recently,REFUTES
glaciers are not melting,REFUTES
climate change is just politics,REFUTES
warming is good for the planet,REFUTES
scientists make up data,REFUTES
the climate is not changing,REFUTES
there is no evidence for global warming,REFUTES
climate change is not a big deal,REFUTES
natural disasters are not increasing,REFUTES
global warming is fake science,REFUTES
emissions are not harmful,REFUTES
the climate was warmer before,REFUTES
earth’s climate is self-regulating,REFUTES
climate change is not proven,REFUTES
scientists invent problems for money,REFUTES
warming is exaggerated,REFUTES
climate change is not man-made,REFUTES
the planet is not in danger,REFUTES
sea ice is growing,REFUTES
extreme heat is normal,REFUTES
there is no such thing as global warming,REFUTES
humans are not responsible for climate change,REFUTES
earth is not getting hotter,REFUTES
weather events are not worse than before,REFUTES
scientists push a false narrative,REFUTES
warming is just part of history,REFUTES
climate change is invented,REFUTES
oceans are not rising,REFUTES
earth will adapt to any changes,REFUTES
the climate scare is false,REFUTES
there is no man-made warming,REFUTES
all climate data is fake,REFUTES
warming is temporary,REFUTES
climate change is nothing more than a hoax created to control the public,REFUTES
global warming is not based on real science and is completely fake,REFUTES
the so called climate crisis is just exaggerated news from the media,REFUTES
carbon dioxide is harmless and has no effect on the climate,REFUTES
the polar ice caps are not melting despite what scientists claim,REFUTES
