claims,claim_labels
climate's changed before on its own without any effect from humans,REFUTES
climate reacts to whatever forces it to change at the time; humans are now the dominant forcing.,SUPPORTS
it's the sun causing the warming,REFUTES
"in the last 35 years of global warming, sun and climate have been going in opposite directions",SUPPORTS
global warming is not bad,REFUTES
"negative impacts of global warming on agriculture, health & environment far outweigh any positives.",SUPPORTS
there is no consensus that humans are causing global warming,REFUTES
97% of climate experts agree humans are causing global warming.,SUPPORTS
it's cooling more than ever now,REFUTES
all the indicators show that global warming is still happening.,SUPPORTS
models are unreliable and cant be trusted with climate predictions,REFUTES
"models successfully reproduce temperatures since 1900 globally, by land, in the air and the ocean.",SUPPORTS
temperature record is unreliable,REFUTES
"the warming trend is the same in rural and urban areas, measured by thermometers and satellites.",SUPPORTS
all animals and plants can adapt to global warming,REFUTES
global warming will cause mass extinctions of species that cannot adapt on short time scales.,SUPPORTS
it hasn't warmed since 1998,REFUTES
"every part of the earth's climate system has continued warming since 1998, with 2015 shattering temperature records.",SUPPORTS
antarctica is gaining ice,REFUTES
satellites measure antarctica losing land ice at an accelerating rate.,SUPPORTS
ice age predicted in the 70s,REFUTES
the vast majority of climate papers in the 1970s predicted warming.,SUPPORTS
co2 lags temperature,REFUTES
co2 didn't initiate warming from past ice ages but it did amplify the warming.,SUPPORTS
climate sensitivity is low,REFUTES
many independent studies confirm that net positive feedback mechanisms amplify global warming.,SUPPORTS
we're heading into an ice age,REFUTES
"worry about global warming impacts in the next 100 years, not an ice age in over 10,000 years.",SUPPORTS
ocean acidification isn't serious,REFUTES
ocean acidification threatens entire marine food chains.,SUPPORTS
hockey stick is broken,REFUTES
recent studies agree that recent global temperatures are unprecedented in the last 1000 years.,SUPPORTS
climategate cru emails suggest conspiracy,REFUTES
a number of investigations have cleared scientists of any wrongdoing in the media-hyped email incident.,SUPPORTS
hurricanes aren't linked to global warming,REFUTES
there is increasing evidence that hurricanes are getting stronger due to global warming.,SUPPORTS
al gore got it wrong and is inaccurate,REFUTES
"al gore's book is quite accurate, and far more accurate than contrarian books.",SUPPORTS
glaciers are growing,REFUTES
"most glaciers are retreating, posing a serious problem for millions who rely on glaciers for water.",SUPPORTS
it's cosmic rays causing the global warming,REFUTES
cosmic rays show no trend over the last 30 years & have had little impact on recent global warming.,SUPPORTS
1934 is the hottest year on record globally,REFUTES
"1934 was one of the hottest years in the us, not globally.",SUPPORTS
it's freaking cold!,REFUTES
