claims,claims_labels,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
global warming is driving polar bears toward extinction,SUPPORTS,,,,,,,,,,,,,
"the sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists",SUPPORTS,,,,,,,,,,,,,
the polar bear population has been growing.,REFUTES,,,,,,,,,,,,,
ironic' study finds more co2 has slightly cooled the planet,REFUTES,,,,,,,,,,,,,
human additions of co2 are in the margin of error of current measurements and the gradual increase in co2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,REFUTES,,,,,,,,,,,,,
they tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.,SUPPORTS,,,,,,,,,,,,,
the great barrier reef is experiencing the most widespread bleaching ever recorded,SUPPORTS,,,,,,,,,,,,,
it’s not a pollutant that threatens human civilization.,REFUTES,,,,,,,,,,,,,
"if co2 was so terrible for the planet, then installing a co2 generator in a greenhouse would kill the plants.",REFUTES,,,,,,,,,,,,,
"sea level rise has been slow and a constant, pre-dating industrialization",REFUTES,,,,,,,,,,,,,
"volcanoes melting west antarctic glaciers, not global warming",SUPPORTS,,,,,,,,,,,,,
discovery of massive volcanic co2 emissions discredits global warming theory,SUPPORTS,,,,,,,,,,,,,
harvard study finds that wind turbines create more global warming than the fossil fuels they eliminate,REFUTES,,,,,,,,,,,,,
"ice berg melts, ocean level remains the same.",REFUTES,,,,,,,,,,,,,
scientists studying antarctica sea ice warn a rise in accumulation could spark the next ice age.,REFUTES,,,,,,,,,,,,,
more than 500 scientists and professionals in climate and related fields have sent a 'european climate declaration' to the secretary-general of the united nations,SUPPORTS,,,,,,,,,,,,,
unprecedented climate change has caused sea level at sydney harbour to rise approximately 0.0 cm over the past 140 years.,REFUTES,,,,,,,,,,,,,
"human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.",REFUTES,,,,,,,,,,,,,
"co2 does not cause climate change, it responds to it [...]",SUPPORTS,,,,,,,,,,,,,
"earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 a.d., an epoch called the roman warm period, and more recently the medieval warm period from 900–1100 a.d.",SUPPORTS,,,,,,,,,,,,,
sea level rise is not going to happen.,REFUTES,,,,,,,,,,,,,
"cold weather to grip world as solar minimum to deepen, nasa says",SUPPORTS,,,,,,,,,,,,,
the models predicted about three times the amount of warming in the world we’ve seen since [1988].,SUPPORTS,,,,,,,,,,,,,
"the science is clear, climate change is making extreme weather events, including tornadoes, worse.",SUPPORTS,,,,,,,,,,,,,
the rate of warming according to the data is much slower than the models used by the ipcc,REFUTES,,,,,,,,,,,,,
the ­atmospheric residency time of carbon dioxide is five years,REFUTES,,,,,,,,,,,,,
there isn’t yet any empirical evidence for their claim that greenhouse gases even cause temperatures to increase.,REFUTES,,,,,,,,,,,,,
[climate scientists] say that aspects of the case of hurricane harvey suggest global warming is making a bad situation worse.,SUPPORTS,,,,,,,,,,,,,
"the ipcc, the intergovernmental panel on climate change, which is sort of the voice of the consensus, concedes that there has been no increase in extreme weather events.",REFUTES,,,,,,,,,,,,,
"according, again, to the official figures—during this past 10 years, if anything, mean global temperature, average world temperature, has slightly declined",REFUTES,,,,,,,,,,,,,
most likely the primary control knob [on climate change] is the ocean waters and this environment that we live in.,SUPPORTS,,,,,,,,,,,,,
'global warming' is a myth — so say 80 graphs from 58 peer-reviewed scientific papers published in 2017.,SUPPORTS,,,,,,,,,,,,,
global warming ceased around the end of the twentieth century and was followed (since 1997) by 19 years of stable temperature,REFUTES,,,,,,,,,,,,,
increases in atmospheric co2 followed increases in temperature.,SUPPORTS,,,,,,,,,,,,,
"therefore, co2 levels could not have forced temperatures to rise.",REFUTES,,,,,,,,,,,,,
sea-level rise is not accelerating.,REFUTES,,,,,,,,,,,,,
local and regional sea levels continue to exhibit typical natural variability—in some places rising and in others falling.,SUPPORTS,,,,,,,,,,,,,
the temperature is not rising nearly as fast as the alarmist computer models predicted.,REFUTES,,,,,,,,,,,,,
more than 100 per cent of the warming over the past century is due to human actions,SUPPORTS,,,,,,,,,,,,,
"90 per cent of the world's coral reefs will disappear in the next 35 years due to coral bleaching induced by global warming, pollution and over-development.",SUPPORTS,,,,,,,,,,,,,
the warming is not nearly as great as the climate change computer models have predicted.,REFUTES,,,,,,,,,,,,,
el niño drove record highs in global temperatures suggesting rise may not be down to man-made emissions.,REFUTES,,,,,,,,,,,,,
